990	503	24	73
987	504	24	72
984	503	24	72
981	504	25	71
978	505	26	71
975	507	27	71
972	509	28	71
969	510	29	70
962	508	29	70
959	508	29	69
956	506	29	69
954	505	29	70
951	503	29	70
948	503	30	71
946	502	30	71
943	501	31	71
940	502	32	71
936	503	33	71
933	505	34	70
925	508	33	68
917	508	33	67
915	507	33	66
913	506	32	66
911	506	32	66
908	504	32	66
906	504	32	66
903	505	32	66
899	505	31	65
896	505	30	64
893	507	30	65
890	508	29	65
886	508	29	65
883	507	29	64
880	507	30	64
877	508	29	64
873	507	27	65
873	503	26	66
868	501	25	66
862	501	25	66
862	500	25	67
867	499	25	68
866	499	24	69
864	500	24	69
864	500	24	70
863	500	24	70
863	500	24	70
862	500	24	71
862	499	24	71
862	499	24	72
820	444	24	71
820	443	24	71
819	442	24	70
819	446	24	69
819	445	24	68
819	443	24	67
818	440	24	66
818	440	25	63
818	443	25	62
818	446	25	61
822	445	26	59
821	448	27	57
820	447	27	56
819	445	27	55
819	448	27	54
819	452	27	53
819	450	27	52
819	452	27	51
818	450	26	51
819	447	26	51
819	450	26	51
819	447	25	51
823	449	25	51
822	447	25	51
821	445	25	51
820	448	25	50
820	446	24	50
819	449	24	50
822	447	24	49
815	453	26	47
818	452	26	47
821	450	25	47
820	453	25	47
814	454	25	48
815	455	24	49
815	457	23	49
816	458	22	50
817	459	22	51
819	459	20	53
821	458	19	54
822	458	19	54
823	458	19	54
823	457	19	54
828	461	20	54
833	460	20	54
838	458	20	54
839	457	19	55
840	456	19	56
841	454	19	56
847	457	18	57
852	456	18	58
852	456	18	58
857	459	18	59
858	462	18	59
862	461	18	61
863	460	18	63
867	460	18	64
867	458	18	64
872	457	18	65
873	456	19	65
878	456	19	67
879	457	18	68
880	458	19	68
879	467	19	69
878	462	20	69
889	458	20	69
890	459	21	68
895	460	21	68
896	461	21	67
902	461	21	67
903	457	20	67
905	455	20	67
906	453	20	68
908	461	20	70
914	463	20	72
914	460	20	74
916	460	20	76
921	465	20	76
921	467	20	77
926	469	21	78
926	466	22	78
931	472	23	77
931	469	24	77
931	467	24	78
937	465	24	80
937	464	24	82
938	466	24	82
938	463	25	84
945	468	25	83
971	438	25	84
977	437	26	83
975	435	27	81
975	436	27	80
974	434	27	78
973	436	28	76
972	433	28	75
971	435	29	73
976	437	29	71
975	437	29	70
975	438	29	70
975	433	28	70
974	431	27	70
968	429	27	70
969	428	26	69
969	427	26	68
969	427	26	67
969	430	26	67
969	429	26	67
969	428	26	66
970	430	25	66
970	429	25	66
975	436	25	66
979	438	26	66
974	430	25	66
974	428	25	66
972	425	26	63
972	428	26	62
971	425	26	60
971	427	26	60
974	434	26	60
972	435	26	60
972	440	27	61
972	441	27	62
972	440	28	63
972	442	28	64
972	428	26	64
971	427	26	64
972	428	25	66
972	431	24	68
971	430	23	69
971	428	23	70
971	428	23	71
970	431	23	72
968	429	23	73
967	427	23	74
972	429	24	75
971	428	24	75
975	431	24	76
987	439	24	75
986	442	23	74
985	444	23	73
985	441	22	72
985	442	22	70
984	439	22	69
984	439	22	68
988	440	22	68
982	435	23	66
976	426	22	65
975	428	22	64
975	426	22	63
975	428	22	62
974	429	22	62
974	427	22	61
974	428	23	61
974	426	23	59
973	428	23	59
973	431	23	59
973	429	24	59
973	427	24	58
973	430	25	58
973	427	25	57
973	430	25	57
973	428	26	57
973	429	26	57
974	427	26	56
974	429	26	56
974	427	26	55
973	429	25	55
973	427	25	54
973	430	25	54
973	428	25	53
973	428	25	53
973	431	25	52
973	429	25	52
973	428	25	51
973	431	25	51
973	429	25	51
974	428	25	50
973	431	24	50
974	429	24	49
974	428	24	48
974	430	24	48
974	428	24	48
974	430	24	48
974	433	24	47
974	432	24	47
974	434	23	46
974	433	23	46
974	432	23	46
974	434	23	45
974	433	22	45
975	432	22	44
975	435	22	44
975	434	22	44
975	433	22	44
975	435	22	44
975	434	21	44
975	434	21	43
976	436	21	43
976	438	21	44
976	436	21	43
976	435	21	43
976	435	21	43
976	434	21	43
976	433	21	43
976	433	21	42
976	432	21	42
976	432	21	43
976	431	21	43
976	434	21	42
977	433	21	42
977	433	21	42
977	432	21	42
977	436	21	42
977	435	21	42
978	434	21	42
978	437	21	41
978	439	21	42
978	438	21	42
979	439	21	43
979	440	20	45
980	438	20	47
980	436	20	47
980	438	20	49
980	436	20	50
980	434	20	51
980	436	20	52
980	434	20	53
980	432	20	53
980	434	20	54
980	431	20	55
981	434	20	56
981	432	20	57
981	434	20	58
981	432	20	59
981	431	20	59
981	434	20	60
981	432	20	60
981	430	20	60
981	430	20	60
981	433	20	60
981	431	20	60
981	430	21	60
982	433	20	60
982	432	20	60
982	430	20	60
982	429	20	60
982	432	20	60
982	430	20	61
982	429	20	61
982	428	20	61
982	430	20	62
982	428	20	61
982	430	20	62
983	427	20	62
986	427	22	60
984	428	23	59
986	430	25	57
985	428	26	57
988	430	27	56
986	427	27	55
990	430	28	55
989	433	28	55
989	435	28	55
989	433	28	55
989	435	28	56
989	436	27	58
993	433	28	58
992	436	28	59
991	438	27	61
991	435	27	62
990	437	27	64
990	442	26	67
990	442	26	70
989	441	26	72
989	441	26	74
988	444	26	75
987	443	26	76
987	447	26	76
987	445	26	76
987	445	26	76
992	443	26	77
985	447	26	76
990	444	26	77
990	442	26	78
989	441	26	79
988	444	26	79
988	441	27	79
988	444	27	79
987	442	27	79
987	441	27	80
986	444	27	80
986	442	27	80
986	441	27	80
986	445	28	79
986	443	28	79
986	443	28	79
986	442	27	79
986	442	27	79
986	441	27	79
986	445	27	79
986	443	27	79
986	442	27	79
986	445	27	78
985	443	27	78
991	443	27	79
990	442	27	80
989	441	27	81
988	440	27	81
987	439	27	82
986	442	28	82
986	439	28	82
986	437	28	83
986	439	28	84
